"1623332979664646145 2023-02-08 14:48:37 +0000 <cryptoeeee> @netblocks @elonmusk @SpaceX Many people in the earthquake area are communicating through Twitter and relief organizations are also carried out through Twitter.Due to a responsibility that failed to fulfill,Twitter is currently banned in our country.Can you fix this? @Twitter @TwitterSupport @elonmusk
",cryptoeeee many people in the earthquake area are communicating through twitter and relief organizations are also carried out through twitterdue to a responsibility that failed to fulfilltwitter is currently banned in our countrycan you fix this,0,0,-0.4939,negative
"1623347151353905153 2023-02-08 15:44:55 +0000 <eyupexe> @SpaceX @elonmusk There is an earthquake in Turkey and political leaders have restricted access, we can't hear anything please help @elonmusk
",eyupexe there is an earthquake in turkey and political leaders have restricted access we cant hear anything please help,0,0,-0.2173,negative
"1624011332612661250 2023-02-10 11:44:09 +0000 <natty4bumpo> Fury in Ukraine as Elon Musk’s SpaceX limits Starlink use for drones | Ukraine | The Guardian  https://t.co/F5usjtlcU2
",nattybumpo fury in ukraine as elon musk’s spacex limits starlink use for drones ukraine the guardian,0,0,-0.5719,negative
"1623671889519411200 2023-02-09 13:15:19 +0000 <bigrussianshop> Unbridled boorishness as a way of life.  Podolyak, advisor to the office of the President of Ukraine - on SpaceX's decision to limit the use of Starlink Internet by the AFU to control drones: ""The year of resistance to Ukraine, and companies must decide for themselves -  https://t.co/8JnORBv1f9
",bigrussianshop unbridled boorishness as a way of life podolyak advisor to the office of the president of ukraine on spacexs decision to limit the use of starlink internet by the afu to control drones the year of resistance to ukraine and companies must decide for themselves,0,0,-0.5994,negative
"1623421516040880129 2023-02-08 20:40:25 +0000 <uzunvadeyat> @jahreindota @MrBeast @hasanthehun @xQc @ishowspeedsui @Microsoft @PlayStation @intel @AMD @IKEA @MediaSaturn @BillGates @elonmusk @Tesla @SpaceX @NASA @Apple @Google @Meta @telegram @MTV @Sony @Samsung @adidas @Nike @Reebok @Siemens @BMW @Opel @Audi @RollsRoyce @onecomputer @amazon @eBay @Pinterest @bookingcom @CocaCola
",uzunvadeyat,0,0,0.0,neutral
"1622975058690863104 2023-02-07 15:06:22 +0000 <_hitechbytes> @SpaceflightNow another fine landing by SpaceX
",hitechbytes another fine landing by spacex,0,0,0.2023,positive
"1624005688320983042 2023-02-10 11:21:43 +0000 <Cuccarese3> Will Geometric Energy Corporation and SpaceX Use Artificial Intelligence in the Doge-1 Mission to the Moon?🪙🚀  ▶️  https://t.co/eEqClPcTDQ   #dogecoin #doge #doge1
",cuccarese will geometric energy corporation and spacex use artificial intelligence in the doge mission to the moon🪙🚀 ▶️ dogecoin doge doge,0,0,0.6369,positive
"1623692998440816640 2023-02-09 14:39:12 +0000 <nawapon10> SpaceX 33-Engine Static Fire of Booster 7 - YouTube  https://t.co/0R59HN0jp8
",nawapon spacex engine static fire of booster youtube,0,0,-0.34,negative
"1623316343154941952 2023-02-08 13:42:30 +0000 <DemarcusBxIII> @elonmusk @considercosmos @SpaceX Lol that's the most alien thing I've ever heard.  BTW elon, Twitter is still imposing its values. Nothing has changed....
",demarcusbxiii lol thats the most alien thing ive ever heard btw elon twitter is still imposing its values nothing has changed,0,0,0.6249,positive
"1622971655814537219 2023-02-07 14:52:50 +0000 <eonmsk> @SpaceX @Hispasat Awesome to see the delivery has been made successfully, these views are refreshing to the launch event.... #Falcon never disappoints🚀🚀😍😍
",eonmsk awesome to see the delivery has been made successfully these views are refreshing to the launch event falcon never disappoints🚀🚀😍😍,2,0,2.8074,positive
"1623634802820653058 2023-02-09 10:47:57 +0000 <DailyReformerUS> Elon Musk’s SpaceX restricts Ukraine’s use of its satellite internet for drones  https://t.co/lvk3GtXc9o
",dailyreformerus elon musk’s spacex restricts ukraine’s use of its satellite internet for drones,0,0,-0.3182,negative
"1623995884944990210 2023-02-10 10:42:46 +0000 <abrahym_khany> @SpaceX @elonmusk baby doge $0.1  baby doge $0.1
",abrahymkhany baby doge baby doge,0,0,0.0,neutral
"1623697782422007810 2023-02-09 14:58:12 +0000 <atlanticailabs> SpaceX curbed Ukraine's use of Starlink internet for drones -company president  https://t.co/SB4Q3bJryc
",atlanticailabs spacex curbed ukraines use of starlink internet for drones company president,0,0,0.0,neutral
"1623692181658652672 2023-02-09 14:35:57 +0000 <mokromike> SpaceX curbed Ukraine's use of Starlink internet for drones -company president  https://t.co/G9g3RGZlwC
",mokromike spacex curbed ukraines use of starlink internet for drones company president,0,0,0.0,neutral
"1622977453072216069 2023-02-07 15:15:52 +0000 <DCedimoglu> @ekonomikanaliz Çakma adamcık, dün yazdım bugün tekrar ediyorum spacex ile ilgili yazdığın yalanla ilgili delil ortaya koyamadığın müddetçe aşağılık bir yalancısın. Adamcık ağızlı pis düzenbaz. Adamsan beni mahkemeye verirsin. Hodri meydan.
",dcedimoglu çakma adamcık dün yazdım bugün tekrar ediyorum spacex ile ilgili yazdığın yalanla ilgili delil ortaya koyamadığın müddetçe aşağılık bir yalancısın adamcık ağızlı pis düzenbaz adamsan beni mahkemeye verirsin hodri meydan,0,0,0.0,neutral
"1623688600037519360 2023-02-09 14:21:43 +0000 <lancelyons> @SpaceX @elonmusk Elon pushes propaganda and his twitter dump never shows all the Republican trump admin requests for censorship of tweets.  Why not release all the Republican requests chief twit?   https://t.co/XFH7oJ7Kyf
",lancelyons elon pushes propaganda and his twitter dump never shows all the republican trump admin requests for censorship of tweets why not release all the republican requests chief twit,0,0,-0.5574,negative
